SUCESSO: 23:50:04.153150 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.279125 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.279467 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.279809 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.280152 | Usuario: davi | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.280597 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.280934 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.286133 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.288737 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.289458 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.292334 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.297942 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.316039 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.321394 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.323383 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.335857 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.337401 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.340853 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.345667 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.346393 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.346772 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.349188 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.359958 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.361456 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.362837 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.364339 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.365104 | Usuario: theo | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.377635 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.379270 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.379630 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.379954 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.381308 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.382547 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.388084 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.389502 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.395002 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.396442 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.397447 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.397913 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.398380 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.511776 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.513013 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.522658 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.525456 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.526729 | Usuario: manuela | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.528029 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.528380 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.529146 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.529556 | Usuario: sophia | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.530060 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.530438 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.530783 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.531182 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.531819 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.532551 | Usuario: helena | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.532963 | Usuario: sophia | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.533272 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.533659 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.534162 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.534697 | Usuario: theo | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.535270 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.535857 | Usuario: theo | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.536227 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.536832 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.545621 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.546339 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.546848 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.547715 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.548492 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.549300 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.550058 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.551228 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.556034 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.557338 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.558087 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.558855 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.559286 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.559924 | Usuario: manuela | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.560295 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.560847 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.562132 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.563019 | Usuario: helena | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.563418 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.564925 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.565353 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.565661 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.566189 | Usuario: heitor | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.567039 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.569159 | Usuario: helena | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.569960 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.571062 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.578952 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.581862 | Usuario: sophia | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.582814 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.584862 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.585420 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.585888 | Usuario: sophia | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.586439 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.587130 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.587577 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.588071 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.588578 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.589265 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.589759 | Usuario: alice | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.590477 | Usuario: sophia | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.592679 | Usuario: theo | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.597989 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.598789 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.599199 | Usuario: alice | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.600091 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.600939 | Usuario: sophia | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.601314 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.601735 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.602573 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.604170 | Usuario: alice | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.606696 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.609901 | Usuario: arthur | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.612276 | Usuario: manuela | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.612977 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.613324 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.613943 | Usuario: theo | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.615208 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.616713 | Usuario: theo | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.617157 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.617659 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.617914 | Usuario: sophia | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.618918 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.621348 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.622892 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.627484 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.633495 | Usuario: sophia | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.635134 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.635567 | Usuario: alice | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.637469 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.638274 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.639237 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.640019 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.640517 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.641752 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.643378 | Usuario: sophia | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.644470 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.644912 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.645244 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.645588 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.646973 | Usuario: sophia | Operacao: VENDA LIVRO | Parametros operacao: Nome = O poder do habito
SUCESSO: 23:50:04.647314 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.647676 | Usuario: helena | Operacao: INCLUIR LIVRO | Parametros operacao: Nome = O poder do habito Edicao: 9
SUCESSO: 23:50:04.651888 | Usuario: helena | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.652382 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.652807 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.653643 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.654828 | Usuario: heitor | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.655505 | Usuario: arthur | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.656094 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.656812 | Usuario: helena | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.657283 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.657827 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.658108 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.659306 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.659843 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.660481 | Usuario: helena | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.660848 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.661407 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.661953 | Usuario: sophia | Operacao: INCLUIR LIVRO | Parametros operacao: Nome = Mentirosos Edicao: 2
SUCESSO: 23:50:04.662347 | Usuario: sophia | Operacao: VENDA LIVRO | Parametros operacao: Nome = Mentirosos
SUCESSO: 23:50:04.662660 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.663262 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.671440 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.671821 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.672211 | Usuario: heitor | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.672673 | Usuario: miguel | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.673182 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.673852 | Usuario: laura | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.674156 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.674809 | Usuario: davi | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.676111 | Usuario: theo | Operacao: REPOSIÇÃO DE ESTOQUE | Parametros operacao: Nome = Mindset
SUCESSO: 23:50:04.683253 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.706815 | Usuario: alice | Operacao: CONSULTAR LIVROS DA LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.730083 | Usuario: alice | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.731316 | Usuario: davi | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.750122 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.762724 | Usuario: theo | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.763324 | Usuario: laura | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.764657 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.765001 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.765362 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.765843 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
